title,author,year,text_sample,text_filename
Ethnoscience 1972,Oswald Werner,1972,"After the first flurry of successes at discovering folk classifications by relatively rigorous eliciting techniques, few major advances have been made in the direction of a better understanding of lexical/semantic fields.? Casagrande & Hale (6) provided a nearly exhaustive list of the major semantic rela- tions, but little work followed in spite of increasing evidence that lexical/se- mantic relations are more readily recognizable as language universals than are semantic components (Werner 69). A partial explanation is that work in this area is extremely difficult and sociolinguistic approaches (ethnography of communication) seem to offer easier solutions. I think this is an unrealistic estimation since considerations of context, though certainly crucial, are also certainly more complex than so-called ""context free"" semantics. Advances have been few because experimentation with large lexical fields exceeds the limitations of procedures by hand. It is simply too difficult to keep track of 1000 or more lexical items and their ramifications. The system- atization of lexicography -and ethnoscience can be viewed as an attempt at systematic and nonlinear (nonalphabetic) lexicography has always been burdened by the bulk of data it had to process. The rather unsystematic vari- ations of definitions in existing dictionaries are a living monument to this problem. Progress in ethnoscience is slow because the purpose of the exercise was never made entirely clear. Theorizing in terms of ""synthetic informants"" or in terms of question-answering systems promises to fulfill for the first time Goodenough's dictum that an ethnography should allow one to behave like a native of that culture--at least for the general area of cultural verbal be- havior based on cultural knowledge. It cannot be stressed sufficiently that This research was in part supported by a grant from NIMH MH 10940. I am indebted to the following people for their comments: Roy D'Andrade, Martha Evans, John Farella, Terry Strauss, and especially for the detailed analy. sis of Paul Friedrich. Any shortcomings that remain are my own. I simply fail to understand Hymes' (31) optimism or see any evidence for its justification. Compare, for example, Hymes to Roger Keesing's recent (38) opening sentence, ""Whatever happened to Ethnoscience?""",vol1.11
Kinship Semantics,Harold W. Scheffler,1972,"""Accounts of meaning usually throw a handful of putty at the target of sign phenomena. in anthropological theory since the publication of Morgan's Systems of Consanguinity and Affinity of the Human Family in 1871 (42). Yet, in the view of a number of anthropologists, many of us have still to learn the lesson taught by Morgan's early critics: that many or all of the terminological sys- tems Morgan dealt with are not systems of kin classification, that their terms do not designate categories of kin, or if they ever do, this is only one of their semantic functions, and perhaps a relatively trivial one at that. Elsewhere (59) Lounsbury and I have attempted to demonstrate that this assessment of the ethnographic facts is mistaken, that the designations kin- ship, kinship terms, and systems of kin classification have not been misapplied by most ethnographers in the way that their critics (47, 66) would have us believe; and we have given some indication of the concepts and methods we think are appropriate to the description, analysis, and comparison of such systems. This essay recapitulates the major points of our earlier argument and reviews some of the more recent, as well as very old, literature on the subject of kinship semantics. The focus here is on what I think are the theoretically most fundamental issues in the study of kinship semantics, i.e. of the meanings of kinship terms. Little is said about the study of systems of social action whose norms are grounded in relations of genealogical connection. [A masterful review and cri- tique of three principal ""styles in the study of kinship"" in this, the broader sense of the term, is now available (2).] This considerably reduces the num- ber of publications that need to be noted, but I have reduced the number even more by concentrating on the works of a few scholars (not the only ones, of course) who have dealt with a wide range of topics and whose writ- ings have significantly influenced the work of other anthropologists. If it 'This review was prepared while the author was a Visiting Fellow at the Re- search School of Pacific Studies, Australian National University, Canberra.",vol1.12
Structuralism in Cultural Anthropology,Pierre Maranda,1972,"This chapter consists of five parts. The first proposes a definition of structuralism against the background of other anthropological approaches. A brief diachronic sketch is found in Part I. Part III reviews some very recent con- tributions. A theoretical summary follows in Part IV. Finally, Part V focuses first on transformational analysis before examining a few testable hypotheses and their verification. The position of structuralism among other approaches in anthropology can be located by means of the Aristotelian notions of causality. Aristotle, and many after him, look at epistemology in terms of etiology. To know means to be able to map the different causes of a phenomenon. There are four causes according to traditional European philosophy: the material cause, the efficient cause, the formal cause, and the final cause. The material cause answers the question ""What is the phenomenon made of?"" The efficient cause answers the question ""What/who made it, what is its origin?"" The for- mal cause answers the question ""What is it?"" And the final cause answers the question ""What is the phenomenon for?"" Applied to social anthropology, the grid yields the following, where neat- ness does not necessarily mean oversimplification. Material cause: biological and physical anthropology and ethology in so far as they bear on social an- thropology-generally speaking, cultural ecology. Efficient cause: evolution- ary theory. Formal cause: structural theory. Final cause: functional theory. This is not the place to deal with the epistemological implications of the model or with the relationships between the different causes. All are different mappings of the same phenomenon, and therefore all approaches reveal dif- ferent configurations. One can look at a piece of chalk or at the element of kinship from different viewpoints and map them accordingly. Thus, the defi- mition of a chalk crayon in terms of limestone (material cause), or of its manufacturer (efficient cause), or of its cylindrical shape (formal cause), or 'It is appropriate to use this as a frame of reference as anthropology belongs to the European world view.",vol1.13
"Linguistic Theory: Syntax, Semantics, Pragmatics",Michael Silverstein,1972,"In one sense ""linguistic theory"" is whatever linguistic theorists choose to do. In the late 1940s, for example, they sought to characterize the relation- ship between some corpus, whether fixed or potential, and an analytic state- ment of structure. With the self-proclaimed revolution in the field during the past 15 or so years, linguistic theory in the dominant school has been defined as the construction of a universal theory of grammar in the sense of neces- sary universals of linguistic ""competence."" This is from the point of view of what linguistic theorists are doing. Clearly all linguists at all times have as a general aim the elucidation of language in every respect; this is the ideal lin- guistic theory. To a great extent, the issues of theory in syntax and semantics are the same as those in phonology and morphology. These include criteria of cate- gory and rule types, rule applicability, naturalness of linguistic generaliza- tions, diachrony versus synchrony. Inasmuch as the most intense recent con- troversy has detailed areas of ""syntax,"" broadly conceived, and ""meaning,"" and because of severe space limitations on the current report, I limit my ex- position to these concerns. In addition, this discussion of the more restricted area is based principally on the last two bibliographical years, with emphasis intended to be in proportion to the work reported. During this period linguis- tic theory as defined by the transformational generative point of view contin- ed to dominate the field as the most formalized, most developed, and most explicit framework. While it is true that the transformational generative school is by far the dominant one in linguistics, continuing work is reported on several other ap- proaches. It is interesting that once such a theory as generative grammar be- comes dominant, then all discussions of other theories become polarized to arguing with this dominant one. This is clearest in stratificational theory, as developed by Sydney Lamb and others. There was a typically vicious attack on stratificational phonology, for example, in Paul Postal's Aspects of Phono- logical Theory (133), and this has led to a standard disclaimer for the ap-",vol1.14
Linguistic Models in Anthropology,Mridula Adenwala Durbin,1972,"The basis of analogy between disciplines leads to epistemological and other philosophical discussions. Likewise, the basis of analogy between anthropology and linguistics directs discussion into the similarity of their subject matter, goals, and problems of analysis. Anthropological literature abounds with assertions of an overwhelming congruency (substantive, functional, historical, ontogenetic) between language and culture, but because most statements are inexplicitly formulated, it is difficult to assess the common problems and properties of these two fields. When discussing a problem of this nature, one could attempt to deal with several topics: (a) the basis of analogy between two disciplines in general and between linguistics and anthropology in particular; (b) the similarity between the goals and the subject matter of both anthropology and linguistics; (c) the nature of the linguistic model and its core concepts; (d) the comparison of various con- cepts used in both fields in order to expose differences that have developed by the very process of analogy; (e) the extent to which various concepts of linguistics are applied to cultural data, and the discussion of why certain concepts are not applied; (f) the various degrees of success in the use of these models; and finally (g) the overall impact of the use of the linguistic model in anthropology. Because any attempt to incorporate discussions of all these topics would require a much larger work than this, I am forced to exclude discussion of the factors that have led to an analogy in the two fields. Instead, I aim to assess how effectively the linguistic model has been applied to anthropology. It ought to be pointed out first that because several formal models are available in linguistics one of the prominent dangers in analogy is the confusion of concepts originally restricted to different models. Anthropology has not been spared such mistaken uses of some linguistic concepts, e.g. contrast vs complementation, component vs distinctive feature. Furthermore, in the course of the discussion, it will also be pointed out that the application of the linguistic model to anthropology has only been partly successful (when compared to linguistics) because several aspects of the model were not utilized.",vol1.15
American Indian Linguistics,Karl V. Teeter,1972,"Anthropologists tend to look to American Indian linguistics for a classificatory philosopher's stone, one which will provide large-scale schemes to cor- respond with those derived from study of cultural traits and natural areas. Alas, the facts are yet recalcitrant. There is thus a constant temptation to exceed actual knowledge, but here the neophyte has the advantage over the scholar. The true key to American Indian languages is a willingness to accept diversity. The well-known Indo-European language family had the geograph- ical extent its name suggests prior to New World colonization, but even the wildest scholarly speculation finds no less than four American Indian language families of Indo-European internal diversity within the confines of North America. that is not original with me, but rather is based directly on a little-known aspect of a famous article by Sapir (78), as clarified and somewhat simpli- fied by later work, particularly that of Haas. Within this framework I shall summarize the current state of description and comparative work for each family. Languages not securely classifiable in an internally differentiated family, either for lack of evidence or distance from obvious relatives- language isolates in the term of Haas -will be treated separately, and pos- sible wider relationships then briefly discussed. Space limitations have dictated a narrowly linguistic concern in this paper. Such related topics as ethnographic semantics are omitted, and the emphasis here is on the status and details of recent and current work in descriptive and historical linguistics. The same consideration plus the writer's own limitations additionally circumscribe the America of the title to America north of Mexico, although a more reasonable division in terms of relation- ship would include both Mexico and Central America. In writing this paper I have incurred two debts. The first is to direct correspondents. In 1971, Kinkade (49) published a roster of linguists and anthropologists currently working on American Indian languages, containing the names of over 300 scholars. I have circularized those on the list, inquir- ing as to their current and recent work, and received a generous response from more than half this number. I regret the necessity for severe selection in actual literature cited, but hereby acknowledge gratefully the education received from all those kind enough to reply. Secondly, a major volume",vol1.16
Inspiring Continuities,Karen B. Strier and Don Brenneis,2023,"In her provocative Perspective article, Ruth Tringham reflects on the people and pro- cesses that shaped and shifted her rich and multifaceted research trajectory. These ""triggers of inspiration,"" as Tringham christens them, influenced her early path to the Neolithic of Eastern Europe with its initial focus on the clues that flaked stone assemblages could provide into changing prehistoric subsistence patterns. They also introduced her to the ethnographic and historical frameworks of anthropology, which brought both nuance and depth to a more traditional archaeological analysis of culture change. Her research continued to be inspired by people and events during the disruptive period from 1988 to 1993, when political changes were reconfiguring Eastern Europe. During this same period, feminist critiques of archaeology were also taking off, sparking new ways of looking at old questions and data. The infusion of gender considerations into archaeological analvses provided new dimensions in which Tringham could en- rich her signature small-scale approach of household analyses with the life histories of their individual occupants. This disruptive period also coincided with revolutionary ad- vances in digital technology, which Tringham embraced from the outset. She was quick to recognize the ""power of its multimodal and multimedia complex navigational struc- tures,"" which she harnessed for interpreting both the processes by which archaeologists reconstruct prehistory and alternative scenarios that can be created. Tringham's ""archaeology with the senses"" and juxtaposition of ""imagined narratives with empirical data"" are amplified by the reviews encompassed in the two themes, Mul- timodality and Security/Insecurity, that weave through this volume. Indeed, traces of Tringham's appreciation for the ""humanistic way of using scientific data"" can be found across the critical reviews representing all subfields of anthropology.",vol52.1
Acknowledging Inspirations in a Lifetime of Shifting and Pivoting Standpoints to Construct the Past,Ruth Tringham,2023,"In this Perspective article, I am able to draw the various strands of my intellectual thinking and practice in archaeology and European prehistory into a complex narrative of changing themes. In this narrative, I draw attention to the inspirational triggers of these transformations to be found in works and words of colleagues and events within and outside my immediate discipline. A group of events between 1988 and 1993 disrupted (in a good way) the trajectory of my professional life and provided a convenient anchor around which my themes pivoted and regrouped with very different standpoints. But some trends in my way of working remained constant and contributed, I hope, to a career of cumulative knowledge. Along the way, I show the significance, in terms of my personal intellectual context as well as archaeological practice in general, of my published works as well as more obscure and some unpublished works that are cited here for the first time.",vol52.2
Recent Developments in the Archaeology of Long-Distance Connections Across the Ancient Indian Ocean,Shinu Anna Abraham,2023,"Reviewing material connections across the ancient Indian Ocean in a brief review is a daunting task. The ancient Indian Ocean is spatially and temporally vast, embracing a dizzying array of communities with their own histories and motivations, occupying littoral tracts that border hinterlands with their own desirable resources and commodities, all traversing complex maritime environments. Building the evidentiary database requires the coordinated efforts of multiple specialties, including but not limited to history, archaeology, epigraphy, numismatics, maritime technology, and materials science. The resulting maelstrom of scholarship (particularly in the last two decades) can, for both experts and nonspecialists, obscure important developments concerning this geographic space, and may in part explain why there has been limited anthropological engagement with this material.

This review seeks instead to offer a broad synthesis, enabling the reader to appreciate the chronological and geographic scope of research and introducing multiple points of entry for those wishing to delve deeper. Its scope is thus deliberately delimited. First, as a review of the archaeology of the Indian Ocean (Supplemental Figure 1), I foreground fresh contributions about material connectivities, minimizing a historiography that stretches deep into the previous century and has been reviewed countless times. Second, I focus on sites (primarily ports, transshipment points, settlements, and mortuary sites) with archaeologically visible nonlocal materials. Not surprisingly, these are generally ceramic, stone, glass, and metal artifacts; the many perishable trade goods are represented mostly by shipping and storage containers. Third, while there exists abundant archaeological research on material links between communities within subregions of the Indian Ocean, here I emphasize material traces of the long-distance maritime-based movement of cultural elements (objects, people, ideas, etc.) between the subregions.",vol52.3
Rethinking Neandertals,April Nowell,2023,"During a graduate seminar on Neandertals, the late Paleolithic archaeologist Prof. Harold Dibble told students assembled around a table the story of his recent trip to the barber. It was right after the release of the 1986 film Clan of the Cave Bear, based on the novel of the same name by Jean Auel (1980). His barber had wanted to talk about how terrible the film was. In fact, everywhere Dibble went, people wanted to share their often emotional and deep-seated opinions on whether it was a good film or a bad one, based not on plot or the acting chops of its lead, Darryl Hannah, but rather on how realistically Neandertals had been portrayed. Either they were not “human enough” or the director had gotten this species “just right.” Dibble pointed out that he had not once had a similar conversation with anyone about the film Star Wars. Moviegoers accepted that light sabers made one long, sustained sound when in use instead of something more staccato, and that spaceships banked in space despite the lack of oxygen. Even the famed film critic Roger Ebert (1986) gave Clan of the Cave Bear 1.5 stars, writing that the movie “approaches those times with a modern sensibility. It shows us a woman winning respect from a patriarchal tribe, when, in reality, the [Neandertal] men would have just banged her over the head real good. It isn't grim enough about what things were probably like back then.” There is a lot to unpack in Ebert's assertion about male and female roles in the Pleistocene (see Nowell & Chang 2014), but his review and Dibble's experience getting his hair cut beg the question of why the general public and even scientists have what at times appears to be an emotional connection to our extinct cousins.

In this article, I first provide an overview of the Neandertals by briefly recounting their initial discovery and subsequent interpretation by scientists. I then discuss our current understanding of the temporal and geographic span of these hominins and their taxonomic affiliation. Next, I explore what progress we have made in our understanding of Neandertal lifeways and capabilities over the past decade [what Papagianni & Morse (2015, p. 14) refer to as a “Golden Age” in Neandertal research], particularly in light of new technologies and changing perspectives. In the process, I consider whether these advances in knowledge qualify as “Black Swans” (Frayer 2019). In economics1, a Black Swan is a term used to describe an extremely rare and unpredictable event that has severe consequences but in hindsight was foreseeable (Taleb 2010). Recently, Frayer (2019) has argued that some advances, such as the sequencing of the Neandertal genome and the discovery of a Neandertal “necklace” at the site of Krapina in Croatia (Frayer et al. 2020, Radovčić et al. 2015), are paleoanthropological Black Swans with widespread consequences for scientists’ perceptions of Neandertals. Building on this analysis, I look at ongoing debates in the field using Neandertal extinction as a case study. By way of discussion and conclusion, I return to the story with which I began this article to understand why Neandertals continue to engender interest, and indeed emotion, among scientists and the general public alike.",vol52.4
